,poem name,content,type
10,I Don’t Buy It,"I don’t buy it, says

the scientist.

Replies the frail

and faithful heart,

it’s not for sale.",Art and Science
11,The Gargantuan Muffin Beauty Contest,"We were at the Edison Hotel on West 47th Street
for the annual muffin beauty contest —
I can’t tell you how pumped up we were.
Times Square was having another psychotic judder.
The bellhop was all thumbs up: Sir, have a nice day
and get one gratis. All those avenues of doors
and the Hispanic chambermaid who couldn’t speak English.
Spider-Man was doing all that Spider-Man shit
just to get a bird’s eye view. Donna Summer
was almost dead and we were barely into spring.
I want to dance to “Love to Love You Baby,” I want to groan.
I’ve never seen so many high-quality muffins.
If  I wasn’t a religious man, and maybe I wasn’t
I would have said the muffins were walking on water:
I’ve never felt so half-and-half. Have you read the Bible?
The bellhop said: You ain’t seen muffin yet.
They were drifting in from Queens, Brooklyn, Harlem,
The Bronx, Manhattan muffins too and that weird
cute coke-faced muffin who’d taken the subway
from Coney Island. If only I were a betting man,
but hey I am a betting man, it’s Coney Island every time.
Lou Reed isn’t getting any younger. Zappa said,
Girl you thought he was a man but he was a muffin,
he hung around till you found he didn’t know nuthin’.
In the lobby Nina Simone was singing, I Loves You Muffin
and in the restroom they piped in “Mack the Knife”:
Hey Suky Tawdry, Jenny Diver, Polly Peachum
and old Miss Lulu Brown. Muffin The Romance
was the biggest show in town. We were hurtling back
to the 1970s and sometimes the 1970s are almost
as good as the 1930s. I want my muffins to be ahistorical:
shit just to say ahistorical makes me joyful.
I saw Leonard Cohen crooning with a couple
of octogenarian muffins and I’m telling you now
the lobby was pleasantly disturbing. You may find
yourself   behind the wheel of a large automobile.
You may find yourself  in another part of  the world.
You may find yourself  at the gargantuan muffin beauty contest
and you may ask yourself, Well, how did I get here?
Times Square was having another psychotic judder.
Love is in the air, it’s in the whisper of the trees.
This is not America, this is the cover version:
sun, sex, sin, divine intervention, death and destruction,
welcome to The Sodom and Gomorrah Show.
All those white muffins trying to be black muffins!
Give us our daily muffin, save us from temptation.
Jimmy Buffett was singing, Why don’t we get drunk
and screw? In Times Square the most beautiful muffins
in the world were hanging on a thousand screens.
Where are my singing Tibetan balls? Am I dead?",Art and Science
12,End Grain,"is an opening, is all
we can see

of  the long
strands that make

the pathways for
rays, bisecting

annular rings,
the most

vulnerable door
of  what makes

the holiest of
things.",Art and Science
13,Temple You,"What is mysterious about loss,
flush of arm pulled from a wilted sleeve,

summer’s urine-tang in autumn leaves?
Let   John Keats light another fag.

Or Brontë refuse the doctor
on her black sateen settee.

For whatever part of   you
may be taken away, you said,

is the scar I will visit first
with my mouth, each time,

as gold visits the thieved till,
sun the obliterated sill,

saying praise you for leaving
me this you, this living still.",Art and Science
14,A Winding Sheet for Summer,"1

I wanted out of the past so I ate the air,
     it took me further into air.
It cut me, an iridescent chord
     of geometric light.
I breathed deep, it lit me up, it was good.
All these years, lightning, rain, the sky,
     its little daisies.
Memento mori and lux.


  2

And you can’t blame me.
This daisy-feeling.
I was a poet with a death-style of my own
     waking.
I occupy the rest of it.
A blue-green leaving feeling.
To no longer belong to a body sometimes
     open to air.
In rain, in early morning rain.


  3

Today was the day of the amphitheater in mind.
The day of a dreaming speech where the light is dope
     and that’s all you can say.
When a feeling degrades and evolves into thought like
     2 a.m. dilated, revealed a star.
It will say this long agony is great being awake.
It is being lovely now.


  4

All the stars are here that belonged to whatever
     was speaking.
I built my life out of what was left of me.
Sky and its procedures.
A romanticism of clouds, trees, pale crenellations,
     and poetry.
A musical joybang.
Touching everything.


  5

When the words come back their fictions remain.
Thunderheads and rain, lexical waters raking gutters,
     carving a world.
The stylus will live in the flash.
A daring light from pewter to whatever.
Now discrete observations produce undramatic sound,
     like I am a bubble,
make me the sea. O, make me the sea.


  6

For a long time the names of things and things unnamed.
For a long time hawks and their chicks, fox and their cubs,
     mice and their mice.
For a long time bunnies and boojum, and a name
     for every bird in me.
I am native to feathers — their netherside.


  7

The sun was a goldish wave taped to a book.
A wavy diagram in a fusty book.
Foxed old wave.
A soft electro-fuzz enters the head.
A soft fuzzy opiate lightness.
What could be the message in this
     pointillist masquerade.
What use memory.


  8

I came from a different world.
I will die in it.
Someone saw it, I love them for seeing it.
I love seeing it with them.
Love watching it die in me.
It wasn’t behind or beside me.
Finding it wasn’t it.
Being it was everything.
That was the thing I thought as I fell.


  9

I am that thing in morning, whatever motors in the skull,
     something is claimed.
Sudden rain keeps it real.
Rooftops from the window look stunned.
     Cleansed.
Looking out over the day, the pale performing day.
I always consult the air before composing air.


  10

And what have you been given, the blue nothing asks,
     who are you under clanging brass?
Who are you, Saturday; sing to me.
See the crows thread summerismus.
Afternoon shade mirrors an issuelessness.
A perfection of beetle slowly treading summer’s blade.
The leaves broadcast color.
I was born in summer, my conqueror,
     breaking into wisteria.


  11

The sun was a golden rag nailed to a ladder.
And here the marigolds grow down to the banks.
The mayflies drowse above water.
How then the dazzling surface and its dictions
     under piled clouds,
and clouds sitting there by place and sound.
One thing. This thing and sound glitters.
Indicative transitive particular battles the void.
All afternoon a green-gold silent light
     on the spotted grass, sprung.


  12

I know it’s summer even if I can’t decipher the call.
I believe in the birds haunting me. I held on.
I’m full of bluster but also full of vision.
I’m not ready to put the book down.
To stop singing bright spots thrilling the quicksilver
     over my torrent.
I make sounds, forget to die. I call it living,
     this inhuman conch in the ear.
A pewter sensation and wind.


  13

The sun remains a yellow sail tacked to the sky.
I am climbing air here. I am here
     in the open.
The kestrel swerves.
Its silent kerning.
A stunning calibration of nothing.
I’m left to see.",Art and Science
15,Monstrance Man,"As a boy he had trouble speaking,
past three before a real word preened
from his lips. And for the longest time,
malaprops haunted him. His older sister
did what she could to train the bitten seal
of   his brain to twirl the red ball
on the nose of eloquence, and his grandmother
tired of   insisting he utter the names
of   toys or foods — for every desire
was coded — and gave him whatever
he grunted and pointed to.
O, the man then a boy
thought, when I tower among them
I should invent my own speech
and leave others empty and afraid
that they did not know it, could not ask
or plead their case in the one tongue
that mattered. I shall have them
look upon the simplest things,
the man then a boy thought,
and fill up with stolen awe,
and point with their faces,
their pupils wide as blackened coins,
and hope with all the revenue
shattered heart-glass can muster
that someone had grasped
their need as need and not
as the monstrous coupling
of   sounds in a trance of whims.
Then, the grind of   his teeth
vowed, then the plazas of my city
will fill with my name,
and their blood will matter
as little to them as to me.",Art and Science
16,Will,"In English
we place a noun
meaning fixed purpose
before our verbs
to create the future
tense.


Here, in the private life
my team invents,
I’m in a floodlit kitchen
like the set
of an old-time ad
for Tide

and I am chopping
something.


Isn’t this the past
perfect?
Should I feel nostalgic?

This corn is highly
leveraged

and I’m wearing
a pink slip.",Art and Science
17,Letter to a Lost Friend,"There must be a Russian word to describe what has happened
              between us, like ostyt, which can be used
for a cup of  tea that is too hot, but after you walk to the next room,
              and return, it is too cool; or perekhotet,
which is to want something so much over months
              and even years that when you get it, you have lost
the desire. Pushkin said, when he saw his portrait by Kiprensky,
              “It is like looking into a mirror, but one that flatters me.”
What is the word for someone who looks into her friend’s face
              and sees once smooth skin gone like a train that has left
the station in Petersburg with its wide avenues and nights
              at the Stray Dog Cafe, sex with the wrong men,
who looked so right by candlelight, when everyone was young
              and smoked hand-rolled cigarettes, painted or wrote
all night but nothing good, drank too much vodka, and woke
              in the painful daylight with skin like fresh cream, books
everywhere, Lorca on Gogol, Tolstoy under Madame de Sévigné,
              so that now, on a train in the taiga of  Siberia,
I see what she sees — all my books alphabetized and on shelves,
              feet misshapen, hands ribbed with raised veins,
neck crumpled like last week’s newspaper, while her friends
              are young, their skin pimply and eyes bright as puppies’,
and who can blame her, for how lucky we are to be loved
              for even a moment, though I can’t help but feel like Pushkin,
a rough ball of  lead lodged in his gut, looking at his books
              and saying, “Goodbye, my dear friends,” as those volumes
close and turn back into oblong blocks, dust clouding
              the gold leaf that once shimmered on their spines.",Art and Science
18,"“Un Tintero,” Inkwell","              Anger is the other person inside
                            mi garganta, my throat.

                            The mouth’s mouth is the deepest.

Rage is the homeless boy fallen down a well.

Shout down and he will echo back.
                                          La lengua, tongue.

How long have you been down there?

                            Subterráneo, underground.

The letters of Cortés are difficult to read,
                            on each page a horse dies.

The lord of the city lives homeless in a canoe.
Hundreds of natives are speared.

              Another town is burned alive
              with all its caged creatures.

On each page the people appear to walk
                                                        over their dead.

La tierra estercolada, the earth fertilized,
spreads a cloth whose pattern repeats.

                            On each page the future arrives
on a raft woven of snakes.

              Over and over, the design obliterates.

Never does he say this was their home we took.",Art and Science
19,A Vision,"Our city fled,
So I sought its paths in haste
And looked around—I saw only horizon,
And I perceived that those who flee tomorrow
And those who return tomorrow
Are a body I tear apart on my page.

I could see: the clouds were a throat,
The water formed walls of flame.
I saw a sticky yellow thread,
A thread of the history that clings to me.
A hand mulls over my life, ties my days together
Time and again, a hand that was heir
To the race of dolls and the progeny of rags.

I entered the rites of creation
In the waters’ womb and the trees’ virginity,
I saw trees seducing me,
I saw rooms among their branches,
Beds and windows resisting me,
I saw children and read them
My sand, I read them
Suras of clouds and verses of stone,
I saw them journeying with me,
I saw pools of tears and the corpse of rain
Gleaming behind them.

Our city fled—
What am I? A spike of grain
Weeping for a lark
That died beneath the snow and cold,
Died without revealing its messages,
Died without writing anyone.
I questioned it and saw its corpse
Discarded at the end of time,
And I cried out, “Silence of the ice, I
Am the home of the exiled lark.
Its grave is my home, and I’m an exile.”

Our city fled,
And I saw my feet transform
Into a river overflowing with blood,
Into ships growing distant, expanding,
And I saw my drowned shores seducing ...
My waves were wind and pelicans.

Our city fled,
And refusal is a crushed pearl
Whose powder anchors my ships,
And refusal is a woodcutter living
On my face—it gathers me and sets me on fire—
And refusal is the distance that disperses me.
I see my blood and I see my death
Beyond my blood:
It speaks to me and pursues me.

Our city fled,
And I saw how my shroud illumines me,
I saw ... If only death would grant me time.
 
Translated from the Arabic",Art and Science
20,Why I Am Not a Sculpture,"To be a statue               carved by Bernini
Lounging in a climate-controlled museum in Rome         is luxury
Like the luxury of a personal pan pizza            with unlimited free toppings
Or the luxurious feel of a premium eye pencil          used to draw bisons on the walls of a French cave
To be so white and glossy                   is unimaginable
Like how I imagine a plate of eggs painted by Velázquez           or the lid of a designer toilet cistern
In a European magazine                       (I could be European
And wear a dashingly arranged scarf          or sip weirdly-named liqueurs that taste like semen
In a Rococo palais)                but in the scheme of things
Where I am marble and still                  my wrist will be a marvel
Like the marvel of an isthmus           whose name can only be pronounced if you have a lisp
Or the marvelous sausage                that saved a man from the Inquisition in 1582
It is definitely marvelous                    to be as attenuated
As the casually extended leg of a greyhound                   reclining on its very own velvet settee
To be so thoroughbred                          is an accomplishment
Like the thoroughly flattened face of a Persian cat                   which always looks peevish
Or the extremely frivolous ceiling                   of a banqueting hall where royals are put to death
If it is admirable to be so luxurious                    then I will never be admired
The way a designer toilet cistern is admired               or a piece of elaborate pâtisserie
(Although I am not a statue                   I have often held my arms aloft
As when catching a carelessly thrown baby              or pointing at two meteors at the same time)
It is exhausting trying to be so inanimate               and desirable
If my arm breaks off  like the shell                of a freshly-filled cannoli
You will know why",Art and Science
21,From “The Epigrams of Martial”,"6.

A rabbit hides in the wheel arch on a flight to hawaii
and arrives alive a poem stops a tank long enough
for a picture to be taken I myself have become more
fearful of heights the question is then what happens
the eye of jupiter is growing smaller but also colder

7.

The movie is better than the book
which is better than the experience
silver is better than gold (it doesn’t infect piercings)
a fake masterpiece is better than a real one because at least it’s affordable
permadeath in virtual warfare is better than actual death in actual warfare
imitation is better because it’s sincere
whereas innovation seeks to impress
and anyway is never what it says it is
the second time is better than the first, as you well know!
the remake is self-conscious and therefore more morally alert
this sentiment is better than the other times it has been expressed
because in the past it was expressed more forcefully and now it can relax
even thinking that Salinger meant David Copperfield the 1980s magician
who made real cars and buildings disappear
is better than knowing he meant Dickens
but only because others have thought this before you
and written about their mistake with winning modesty
or honesty or both
a cat hunting a bird is better now
because of cartoons
just as the cat that lives next door
is a better cat because it is not your cat anymore
a rhyme is better the more times it has been used
cliché is better than truth
truth is just something that hasn’t become a cliché yet
but inevitably will
(then you can put it in your pocket
and no one can put the truth in their pocket)
and any king or queen or president or prime minister
is better than all previous kings or queens or presidents or prime ministers
any poem is better than all the poems that precede it
that say essentially the same thing
which means new is better than old
but only if it looks or sounds or otherwise seems somehow old
being in a simulation is better than being in reality
watching the simulated stars set to ambient music created by a gifted recording artist
is better than watching real stars set to dismal sounds from real life
derivative beauty is better than any other kind
(here we are surrounded by all this derivative beauty—imagine!)
however the audience will still say “nah”
however many times you say
the cover version is better than the original
but the cover version is always better than the original
I know that the cover version is always better than the original
and the reason I know the cover version is always better than the original
is that I’ve never heard the original

41.

You’re not the capital’s purveyor of inclement art
traversing the pale river with a glass of equally pale sulphur
on a trip in search of black ice cream
or whatever it is the russians are buying
nor an idle dealer who sports a crown of vegetables
in your self-deprecating portrait
(a little fancy commissioned
not to be indiscreet but
in the fantasy
at “some” expense)
not even the owner in your wildest dreams of a kept viper
but more a kind of overlarge boy who somehow drags out a salary
on the halved lunches of interns
hoarse from smoking
not thy powerful talk
you stay in the shop to keep in the shade that’s all
you are not the best urban poet
but this gallery has a heartless master on six figures
who likes to say he’s all mouth and isn’t
and even asks after your finances
the bastard
and why look up from your phone
at your desk at reception
when it seems you’re the only one the satire on the walls this month has seen
(it can’t cut both ways, can it?)
and nobody has ever penetrated the depths of the mercedes that waits
like a black moon
or a scoop of something poisoned
melting on the curb outside
ignored by wardens as if they can’t perceive the gleaming anomaly
so great is it
and you with your “I always had a good nose for it”
you with your aquiline sophistication and games of insolence
their verve dulling let’s be fair in these conditions
and your brochures
your spelling
just enough bait

55.

If you want to know my wishes briefly Mark,
famous host, bright ornament, OK then, pronto—
I ask to be the master of a great rural cultivator
of the soil, a small tribe used to the easiness of dirt.
I do. And to worship the cold painted rocks at dawn
with an unfit “hello.” And later when the presents
are in stockings crowded by the chimney breast,
to remember the lead-haired fisherman I was then,
waiting a year for the prize of a red honey jar,
at a sagging table eating my eggs among ashes—
whoever does not love this does not love this life!
I hope that you live, and the city, amid duties.

57.

What kind of life is called a healthy life...?
I don’t ask that it’s too easy or too hard.
I’d like something in between the two ...
At the same time I don’t want to know,
even if it is my call ... I know you know
I don’t wish to shave my head again
or work the funerals ... the center of attention ...
At the same time I don’t want to be bored!
Underneath the veil ... in gloves and pearls ...
W/r/t life ... that’s my prerogative ... bitches ...

61.

Love’s syllables scroll.
Tag them, Verona.
May is a happy man.
Consider pressed his tiny region.
Place the stars or less.
Fragrant hues applaud the Nile.
One tree sounds.
Love, the two unique dogs.
He speaks fluent hearts.
A dog can enjoy his humorous letter.
No one has bought cilantro, my arse.
Your lie, my boast.
I will not keep silent in the lawsuit, Bilbo.

63.

In general I hate discussing my poetry
so I always ask questions
there’s a kind of writer/artist though
and you meet them all the time now
who only talks about their “practice”
without anyone caring or asking
(it isn’t connected to success)
and shows no flicker of interest
in anything anyone else does
if the choice is between talking about me
when I don’t want to talk about me
or talking about you
when you only want to talk about you
then let’s talk about me
by the way if you don’t know
this type of artist you probably are it sorry",Art and Science
22,Bone Dust,"             every part
             down to gristle



             where meat attaches
             to bone—leaves hollow

                          having pushed the world away, we call it back through language

                                                                                                                               love thyself
              thy sternum tight like a cage

                                                                        W., R. & T. drop acid and go to a
                                                                            bar inside a grocery store

                                                                                   I absorb this information neutrally

                                                                                           move toward the scary


                          We slipped
               into the crowd escaping. We were first in line to escape. We were trying to fit inside coolers or buckets, get lifted out.

                                                                            They mandate
                                                                            show us a video
                                                                            try to prepare us
                                                                            (we are teachers)
                                                                            to respond first.

                                                                            I know I must not be the only

                Saw it coming and didn’t say anything—why?


                You should always strive to emit positive vibrations to others, earth, and self.




                                                    sun-filled

mouth breathing
woodpecker
in our bed


                                                                            and I think he is those things



last                                living form
on earth




                                                                                      (Hard to write a poem and let it fail)



What kind of life to not be engaged with desire up to the very end. Isn’t that what dying is—to no longer be in proximity to want?

                                                                                     I wrote, trees and non-binary (it was a typo)


                                                                                             & source of positive vibration.

                                                                                                     hear flower say no
                                                                                                     accept and do not pick it
                                                                                                     bringing back the dead

First it was the leg bone. Then dark wet owl pellets, fur and bone, tiny skull with bone so fragile it flaked into bone ... dust—bone, soaked
in bleach, bone on the back porch, bone of water, bone of light, good boy bone, bone I asked permission for, may I always be ready to
hear no:        I offer bone as offering, I shake bone around to anyone good who may be listening.



             What’s mine is yours even if it’s only bone dust.
                                               We live openhearted and without fear.


         In the triple-X fantasies,
I’m the puppy. I bring back the dead
          a sign of—what?
Surrender? Having, out in the wilderness,
         thought of you?



Invoke your
proximate sanctuary, string antidotes together like beads.

             cat piss—rancher—rearview spider—wasp nest
             dead dad blanket for the coldest nights—mountain pass—
             antelope—taking a shit under a rainbow in a field of ponies, in Oregon           (how that actually happened)





I know your secret
I too have dropped entire         days into my thigh
Nights and galaxies, termites     of testosterone week after
week slow as money even slower when it               crystallizes. I think you are
            beautiful                                                         in me
                                             small shocks I did not know I’d                    bottom for,

                                             which is not a secret.      Sometimes I imagine shapes behind
                                             my head pouring me into wood chips: me alive, me proximate
                                             to want, useful as a body for some animal part unashamed by its own rage.

                                             Why your pouch fit my jaw like that, why you only smell like that after lightning?
                                             Way it sometimes hurts how bad—desire to be bred.
                                             I close a motionless fist, forget to call you by your other name—
                                                       small pink flag waving in the wind.",Art and Science
23,The White Room,"So I entered suffering. A room with dazzling walls, starched drapes, a bed with the coverlet turned down just so. Shirred bed skirts. The pillowcase crisp, bearing the marks of the iron. A low wrought iron table with a pitcher and its glass of water. Curtain half cinched.

Was anyone else ever here? Not a trace of a prior occupant. No candy wrapper. No smudge on the high-gloss sheen. Yet I marvel at the labor that must have gone into all those preparations: someone lifting the mattress, twice, as you must, and adding the final touches; smoothing away all traces of a final touch, filling the glass precisely, so the camber of water fits like a seal over the rim.

A radio on the nightstand. It lights up, and there’s the very voice in my mind, arguing with itself, trying to convince itself that it suffers. Why so many hypnotic cadences, so many rhetorical flourishes—anaphora, chiasmus, parataxis—such subtle case logic, Rogerian argument, appeals to so many arbiters: God, reason, justice, twilight?

Search from station to station, and the white noise in between. On fm, am, and shortwave, the same rapt monologue. That marshaling of precedent, scientific data, illustrations from the history of medicine, the Upanishads, the Vedas, the sutras and suras, the Sermon on the Mount. But what is suffering? Is it true that it requires my consent?

In a shaft of evening, the trillion worlds collide.

The rose in the vase grows whiter in darkness.",Art and Science
